identifier,auction_name,date,ticker,box_title,multiple_final_prices,final_price,IMM,NOI
['20200804_CHK_CDS'],Chesapeake Engy Corp,04 August 2020,CHK,CDS,False,['3.5'],['4.5'],['USD 265.626 million to sell']
['20200729_WIREAG_CDS'],Wirecard AG,29 July 2020,WIREAG,CDS,False,['11'],['12.875'],['EUR 50.1 million to sell']
['20200707_CALIRES_CDS'],CA RES CORP,07 July 2020,CALIRES,CDS,False,['1.125'],['2.875'],['USD 69.043 million to sell']
['20200624_F-Hertz_CDS'],HERTZ CORP,24 June 2020,F-Hertz,CDS,False,['26.375'],['25.375'],['USD 111.525 million to sell']
['20200612_ARGENT_CDS'],Argentine Rep,12 June 2020,ARGENT,CDS,False,['31.5'],['34.5'],['USD 310.886 million to sell']
['20200609_JCP_CDS-Senior'],J C Penney Co Inc,09 June 2020,JCP,CDS-Senior,False,['0.125'],['1.375'],['USD 352.117 million to sell']
['20200604_INTINV_CDS'],Intelsat Invts SA,04 June 2020,INTINV,CDS,False,['100'],['NA'],['USD 0 million to buy']
['20200529_THENEI_CDS'],Neiman Marcus Group LLC,29 May 2020,THENEI,CDS,False,['3'],['3.5'],['USD 178.711 million to sell']
['20200522_DO_CDS-Senior'],Diamond Offshore Drilling Inc,22 May 2020,DO,CDS-Senior,False,['7.375'],['6.375'],['USD 176.585 million to sell']
['20200519_ECUA_CDS'],Rep of Ecuador,19 May 2020,ECUA,CDS,False,['34.875'],['34.5'],['USD 27.282 million to buy']
['20200513_FRCA_CDS-Senior'],Frontier Comms Corp,13 May 2020,FRCA,CDS-Senior,False,['28.75'],['28.25'],['USD 116.631 million to sell']
['20200506_WHPEC_CDS-Senior'],Whiting Petroleum Corp,06 May 2020,WHPEC,CDS-Senior,False,['7'],['9.5'],['USD 192.773 million to sell']
['20200423_LEBAN_CDS'],Lebanese Rep,23 April 2020,LEBAN,CDS,False,['14.125'],['16.375'],['USD 108.7 million to sell']
['20200310_MCLTHY_CDS'],McClatchy Co,10 March 2020,MCLTHY,CDS,False,['2'],['5.375'],['USD 62.563 million to sell']
['20210113_EUROPMO_CDS'],Europcar Mobility Group,13 January 2021,EUROPMO,CDS,False,['100'],['73'],['43.3 million to buy']
['20220928_UKRAIN_CDS'],Ukraine,28 September 2022,UKRAIN,CDS,False,['17.875'],['18'],['USD 41 million to buy']
['20220912_RUSSIA_CDS'],Russian Fedn,12 September 2022,RUSSIA,CDS,False,['56.125'],['48.375'],['USD 502.4 million to buy']
['20220607_TALEENE_CDS'],Talen Energy Supply LLC,07 June 2022,TALEENE,CDS,False,['70'],['59'],['USD 106.048 million to buy']
['20230413_DIAMSPO_CDS'],DIAMOND SPORTS GROUP LLC,13 April 2023,DIAMSPO,CDS,False,['1.75'],['2'],['USD 44.7 million to sell']
